Designator,Mid X,Mid Y,Rotation,Layer
D1_15,73.0,39.48476,0.0,top
D1_14,110.0,61.48476,0.0,top
D1_13,73.0,61.48476,0.0,top
D1_12,36.0,39.48476,0.0,top
D1_11,36.0,61.48476,0.0,top
D1_10,73.0,72.48476,0.0,top
D1_9,73.0,28.48476,0.0,top
D1_8,110.0,39.48476,0.0,top
D1_7,110.0,50.48476,0.0,top
D1_6,36.0,50.48476,0.0,top
D1_5,36.0,72.48476,0.0,top
D1_4,73.0,50.48476,0.0,top
D1_3,36.0,28.48476,0.0,top
D1_2,110.0,28.48476,0.0,top
D1,110.0,72.48476,0.0,top
D2_15,78.0,28.48476,0.0,top
D2_14,115.0,28.48476,0.0,top
D2_13,115.0,39.48476,0.0,top
D2_12,41.0,28.48476,0.0,top
D2_11,78.0,39.48476,0.0,top
D2_10,41.0,39.48476,0.0,top
D2_9,78.0,61.48476,0.0,top
D2_8,115.0,50.48476,0.0,top
D2_7,115.0,61.48476,0.0,top
D2_6,78.0,50.48476,0.0,top
D2_5,41.0,50.48476,0.0,top
D2_4,41.0,61.48476,0.0,top
D2_3,115.0,72.48476,0.0,top
D2_2,41.0,72.48476,0.0,top
D2,78.0,72.48476,0.0,top
H1_15,73.0,36.793,180.0,top
H1_14,110.0,36.793,180.0,top
H1_13,36.0,25.793,180.0,top
H1_12,110.0,25.793,180.0,top
H1_11,73.0,25.793,180.0,top
H1_10,110.0,47.793,180.0,top
H1_9,36.0,47.793,180.0,top
H1_8,73.0,58.793,180.0,top
H1_7,110.0,69.793,180.0,top
H1_6,36.0,58.793,180.0,top
H1_5,36.0,69.793,180.0,top
H1_4,73.0,69.793,180.0,top
H1_3,36.0,36.793,180.0,top
H1_2,110.0,58.793,180.0,top
H1,73.0,47.793,180.0,top
H2_15,41.0,58.793,180.0,top
H2_14,78.0,58.793,180.0,top
H2_13,115.0,69.793,180.0,top
H2_12,78.0,69.793,180.0,top
H2_11,41.0,69.793,180.0,top
H2_10,41.0,36.793,180.0,top
H2_9,41.0,47.793,180.0,top
H2_8,115.0,58.793,180.0,top
H2_7,41.0,25.793,180.0,top
H2_6,78.0,36.793,180.0,top
H2_5,78.0,25.793,180.0,top
H2_4,78.0,47.793,180.0,top
H2_3,115.0,47.793,180.0,top
H2_2,115.0,36.793,180.0,top
H2,115.0,25.793,180.0,top
J1_15,112.5,22.23476,0.0,top
J1_14,38.5,33.23476,0.0,top
J1_13,112.5,33.23476,0.0,top
J1_12,112.5,44.23476,0.0,top
J1_11,75.5,33.23476,0.0,top
J1_10,75.5,22.23476,0.0,top
J1_9,38.5,66.23476,0.0,top
J1_8,75.5,66.23476,0.0,top
J1_7,38.5,22.23476,0.0,top
J1_6,38.5,44.23476,0.0,top
J1_5,112.5,55.23476,0.0,top
J1_4,75.5,55.23476,0.0,top
J1_3,112.5,66.23476,0.0,top
J1_2,38.5,55.23476,0.0,top
J1,75.5,44.23476,0.0,top
