"#","Qty","Reference","Value","Footprint","DNP","OEPS PN","MPN","DESCRIPTION"
"1","23","C1,C2,C5,C6,C26,C27,C34,C35,C36,C37,C70,C71,C72,C73,C79,C80,C81,C91,C92,C106,C118,C139,C140","10uF","fmc-host:1206","","OEPS010007","GRM31CR71E106KA12L","CAPACITOR:   SMD CER 1206 10uF 25V ±10% X7R   [GRM31CR71E106KA12L] [SMD]"
"2","60","C3,C4,C7,C8,C9,C10,C13,C14,C15,C16,C17,C18,C19,C22,C23,C30,C31,C32,C33,C41,C43,C44,C45,C46,C47,C48,C49,C52,C53,C54,C55,C56,C60,C61,C63,C65,C67,C68,C78,C83,C84,C85,C86,C87,C89,C90,C93,C99,C100,C104,C107,C110,C111,C112,C114,C132,C134,C135,C137,C138","0.1uF","fmc-host:0402","","OEPS010004","GRM155R71E104KE14D","CAPACITOR:   SMD CER 0402 100nF 25V ±10% X7R   [GRM155R71E104KE14D] [SMD]"
"3","14","C11,C12,C20,C21,C24,C25,C50,C51,C57,C58,C82,C122,C123,C124","10nF","fmc-host:0402","","OEPS010002","GCM155R71E103KA37D","CAPACITOR:   SMD CER 0402 10nF 25V ±10% X7R   [GCM155R71E103KA37D] [SMD]"
"4","2","C28,C29","4.7nF","fmc-host:0402","","OEPS010001","CC0402KRX7R8BB472","CAPACITOR:   SMD CER 0402 4.7nF 25V ±10% X7R   [CC0402KRX7R8BB472] [SMD]"
"5","2","C38,C39","47nF","fmc-host:0402","","OEPS010003","GRM155R71E473KA88D","CAPACITOR:   SMD CER 0402 47nF 25V ±10% X7R   [GRM155R71E473KA88D] [SMD]"
"6","8","C40,C42,C64,C66,C74,C75,C76,C88","1uF","fmc-host:0805","","OEPS010005","GCM21BR71E105KA56L","CAPACITOR:   SMD CER 0805 1uF 25V ±10% X7R   [GCM21BR71E105KA56L] [SMD]"
"7","20","C59,C62,C69,C77,C95,C96,C101,C103,C105,C108,C109,C113,C116,C117,C119,C120,C121,C125,C126,C127","10uF","fmc-host:0805","","OEPS010006","GRM21BR61E106KA73L","CAPACITOR:   SMD CER 0805 10uF 25V ±10% X5R   [GRM21BR61E106KA73L] [SMD]"
"8","6","C94,C97,C98,C102,C130,C131","47uF","fmc-host:1210","","OEPS010008","TMK325ABJ476MM-T","CAPACITOR:   SMD CER 1210 47uF 25V ±20% X5R   [TMK325ABJ476MM-T] [SMD]"
"9","1","C115","100pF","fmc-host:0402","","OEPS010089","CC0402JRNPO9BN101","CAPACITOR:   SMD CER 0402 100pF 50V ±5% C0G   [CC0402JRNPO9BN101] [SMD]"
"10","2","C128,C129","0.1uF, 500V","fmc-host:1210","","OEPS010091","C1210C104KCRACTU","CAPACITOR:   SMD CER 1210 100nF 500V ±10% X7R   [C1210C104KCRACTU] [SMD]"
"11","2","C133,C136","33uF","fmc-host:1411-VISHAY-B","","OEPS210010","TL8B0336M020C","CAPACITOR POL:   SMD TANT B0 1411 33uF 20V ±20% 50Ohm   [TL8B0336M020C] [SMD]"
"12","2","D1,D2","SESD0402X1UN-0030-088","fmc-host:0402P-DFN","","OEPS030049","SESD0402X1UN-0030-088","DIODE:   TVS DIODE 7VWM 13VC   [SESD0402X1UN-0030-088] [0402/2DFN]"
"13","3","D3,D4,D5","BAR66","fmc-host:SOT23","","OEPS030050","BAR66E6327HTSA1","DIODE:   RF DIODE PIN 150V 250MW   [BAR66E6327HTSA1] [PG-SOT23]"
"14","1","D6","KDZVTR4.3B","fmc-host:SOD123","","OEPS030051","KDZVTR4.3B","DIODE:   DIODE ZENER 4.55V 1W   [KDZVTR4.3B] [PMDU]"
"15","3","F1,F2,F3","C014F-2","fmc-host:1812","","OEPS100088","MINISMDC014F-2","OTHER:   PTC RESET FUSE 60V 140MA 1812   [MINISMDC014F-2] [Other]"
